id,name,aisle,consistency
10220445,cooked rice,Pasta and Rice,solid
11446,nori,Ethnic Foods,solid
20444,rice,Pasta and Rice,solid
20040,brown rice,Pasta and Rice,solid
93784,brown rice syrup,Health Foods;Baking,solid
16098,peanut butter,"Nut butters, Jams, and Honey",solid
9087,dates,Dried Fruits;Produce,solid
1123,egg,"Milk, Eggs, Other Dairy",solid
11291,green onions,Produce,solid
10014355,green tea,Tea and Coffee,solid
9085,currants,Produce,solid
10020054,glutinous rice,Pasta and Rice,solid
99082,red bean paste,Ethnic Foods,solid
,lard,?,
14311,malt mix,Tea and Coffee,solid
10514003,pilsner,Alcoholic Beverages,liquid
11583,Frozen Mixed Vegetables,Produce,solid
11252,lettuce,Produce,solid
,furikake,?,
,gyudon,?,
,tamagoyaki,?,
10016034,canned red beans,Canned and Jarred,solid
20041,cooked brown rice,Pasta and Rice,solid
93690,nutritional yeast,Spices and Seasonings;Health Foods,solid
,season,?,
23557,extra lean ground beef,Meat,solid
20048,minute rice,Pasta and Rice,solid
10011549,spaghetti sauce,Pasta and Rice,solid
,velveetaâ®,?,
15152,shrimp,Seafood,solid
10220444,white rice,Pasta and Rice,solid
99210,black bean sauce,Ethnic Foods,solid
93675,whole grain tortilla,Bakery/Bread;Pasta and Rice;Ethnic Foods,solid
16202,refried beans,Canned and Jarred;Ethnic Foods,solid
6164,salsa,Pasta and Rice;Ethnic Foods,solid
93822,dried cherries,Dried Fruits;Produce,solid
19296,honey,"Nut butters, Jams, and Honey",liquid
,chunky,?,
11165,fresh cilantro,Produce,solid
11291,scallions,Produce,solid
99233,spanish chorizo,Meat,solid
9003,apple,Produce,solid
12061,whole almonds,Nuts,solid
6984,fat-free chicken broth,Canned and Jarred,liquid
20048,instant white rice,Pasta and Rice,solid
,velveetaâ,?,
11090,broccoli,Produce,solid
5062,chicken breast,Meat,solid
6147,condensed cream of mushroom soup,Canned and Jarred,liquid
16018,canned black beans,Canned and Jarred,solid
4073,margarine,"Milk, Eggs, Other Dairy",solid
19335,cane sugar,Baking,solid
12006,chia seeds,Health Foods,solid
9079,dried cranberries,Dried Fruits;Produce,solid
8121,oatmeal,Cereal,solid
10016098,crunchy peanut butter,,
19911,maple syrup,Cereal,liquid
14412,water,Beverages,liquid
99075,chocolate protein powder,Health Foods,solid
9040,banana,Produce,solid
2050,vanilla extract,Baking,liquid
9431,fresh fruit,Produce,solid
1119,vanilla yogurt,"Milk, Eggs, Other Dairy",liquid
93603,bee pollen,Health Foods,solid
12220,ground flax seeds,Health Foods;Baking,solid
1009054,berries,Produce,solid
1256,greek yogurt,"Milk, Eggs, Other Dairy",liquid
1032050,coconut extract,Baking,liquid
19125,chocolate hazelnut spread,"Nut butters, Jams, and Honey",solid
8121,cooked rolled oats,Cereal,solid
12135,nuts,Nuts,solid
10862,cooked bacon,Meat,solid
11233,kale,Produce,solid
2047,salt,Spices and Seasonings,solid
8640,instant oatmeal,Cereal,solid
1019016,juice,Beverages,liquid
10118192,cookie,Sweet Snacks,solid
1002035,pumpkin pie spice,Spices and Seasonings,solid
8029,cereal,Cereal,solid
99076,vanilla protein powder,Health Foods,solid
2010,cinnamon,Spices and Seasonings,solid
93833,egg beaters,"Milk, Eggs, Other Dairy",solid
1011256,non-fat greek yogurt,"Milk, Eggs, Other Dairy",liquid
19165,cocoa powder,Baking,solid
1077,milk,"Milk, Eggs, Other Dairy",liquid
12061,almonds,Nuts,solid
10123,bacon,Meat,solid
93644,marshmallow cream,"Nut butters, Jams, and Honey",solid
1095,sweetened condensed milk,Baking,solid
10019087,white chocolate chips,Baking,solid
19912,agave syrup,Ethnic Foods;Health Foods,liquid
19157,candy coated chocolate pieces,Sweet Snacks,solid
9431,fruit,Produce,solid
1049,half n half,"Milk, Eggs, Other Dairy",solid
1085,fat-free milk,"Milk, Eggs, Other Dairy",liquid
12155,walnuts,Nuts;Savory Snacks;Baking,solid
2029,dried parsley,Spices and Seasonings,solid
10920420,orzo,Pasta and Rice,solid
1022030,black peppercorns,Spices and Seasonings,solid
1038,pecorino romano,Cheese,solid
11420420,spaghetti,Pasta and Rice,solid
19085,butterscotch,Frozen;Condiments,solid
93803,chow mein noodles,Pasta and Rice;Ethnic Foods,solid
19070,butterscotch chips,Baking,solid
1123,eggs,"Milk, Eggs, Other Dairy",solid
18029,french bread,Bakery/Bread,solid
1026,mozzarella cheese,Cheese,solid
,desired toppings,?,
10019071,dark chocolate chips,Baking,solid
11282,onion,Produce,solid
11120420,penne pasta,Pasta and Rice,solid
43016,slaw dressing,"Oil, Vinegar, Salad Dressing",solid
,recipe antipasto mix $6.88,?,
10111549,marinara sauce,Pasta and Rice,solid
10110219,meatballs,Meat,solid
11819,chili,Produce,solid
11320420,rotini pasta,Pasta and Rice,solid
1011026,shredded cheese,Cheese,solid
93832,cheese ravioli,Refrigerated;Frozen,solid
93651,italian cheese blend,Cheese,solid
11549,tomato sauce,Canned and Jarred,solid
11819,chile,Produce,solid
20317,masa flour,Ethnic Foods;Baking,solid
20420,pasta,Pasta and Rice,solid
,cucharadas de aceite de oliva,?,
,pimienta,?,
,sal,?,
,taza de aceitunas negras picadas,?,
,taza de tomates secos picados,?,
1017,cream cheese,Cheese,solid
93726,dry tortellini,Pasta and Rice,solid
93698,pesto sauce,Pasta and Rice,solid
99036,pasta salad mix,Pasta and Rice,solid
7916,smoked sausage,Meat,solid
93753,lemon pie filling,Baking,solid
11297,fresh parsley leaves,Produce;Spices and Seasonings,solid
10020124,whole-wheat spaghetti,Pasta and Rice,solid
20499,grain macaroni,Pasta and Rice,solid
1001009,cheddar,Cheese,solid
10120499,elbow macaroni,Pasta and Rice,solid
10211529,roma tomatoes,Produce,solid
10093727,cheese tortellini,Pasta and Rice;Refrigerated;Frozen,solid
1032009,red pepper flakes,Spices and Seasonings,solid
6972,chili sauce,Ethnic Foods,solid
10023572,ground beef,Meat,solid
13786,chuck roast,Meat,solid
20410,cooked egg noodles,Pasta and Rice,solid
10011549,pasta sauce,Pasta and Rice,solid
10311529,cherry tomatoes,Produce,solid
1019,feta cheese,Cheese,solid
5006,chicken,Meat,solid
18064,bread,Bakery/Bread,solid
93838,havarti cheese,Cheese,solid
6970,low sodium chicken broth,Canned and Jarred,liquid
2063,fresh rosemary,Produce,solid
5006,whole chicken,Meat,solid
14084,wine,Alcoholic Beverages,liquid
10114003,lager,Alcoholic Beverages,liquid
1012034,Spice Rub,Spices and Seasonings,solid
6194,chicken broth,Canned and Jarred,liquid
98878,frank's redhot sauce,Condiments,solid
11215,garlic cloves,Produce,solid
1002044,herbs,Produce;Spices and Seasonings,solid
11265,portobello mushrooms,Produce,solid
2043,turmeric,Spices and Seasonings,solid
5109,roasting chickens,Meat,solid
1009037,guacamole,Refrigerated,solid
1001,butter,"Milk, Eggs, Other Dairy",solid
1012034,rub,Spices and Seasonings,solid
6150,bbq sauce,Condiments,solid
93646,slider buns,Bakery/Bread,solid
11291,green onion tops,Produce,solid
18069,white sandwich bread,Bakery/Bread,solid
12585,salted cashews,Nuts;Savory Snacks,solid
,sweet-and-sour stir-fry mix,?,
2033,poppy seeds,Spices and Seasonings;Baking,solid
93618,refrigerated crescent rolls,Refrigerated,solid
9150,lemon,Produce,solid
5109,roasting chicken,Meat,solid
4135,vinaigrette dressing,"Oil, Vinegar, Salad Dressing",liquid
1041009,cheese,Cheese,solid
18364,tortillas,Bakery/Bread;Pasta and Rice;Ethnic Foods,solid
11215,garlic clove,Produce,solid
1002046,Stone-Ground Mustard,Condiments,liquid
,or,?,
1022027,italian seasoning,Spices and Seasonings,solid
4114,salad dressing,"Oil, Vinegar, Salad Dressing",liquid
